"동별(1)","항목",2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4,2024 1/4
"동별(1)","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"마포구","한국인",363697,8692,11936,12677,13798,23274,35626,34825,28982,29868,27066,30967,25067,23415,18942,12955,10772,8625,4366,1479,315,50,363645,8490,11704,12564,13870,23389,35420,34962,28720,29783,26871,30962,25367,23379,19303,12943,10888,8626,4489,1528,338,49
"마포구","등록외국인",11465,164,216,181,466,2815,2473,1476,924,726,496,438,408,291,189,114,43,30,9,4,-,2,11317,115,220,182,290,2501,2578,1601,963,755,513,457,391,323,188,135,54,33,12,4,-,2
"양천구","계",439252,9043,16456,23472,24391,24264,28726,27840,26012,35964,37171,40812,34738,34046,28910,19189,13292,8676,4218,1615,350,67,437774,8832,16330,23456,23956,23752,28405,27817,25708,35807,36924,40431,34971,33962,29260,19427,13609,8724,4335,1630,373,65
"양천구","한국인",436028,8991,16388,23414,24320,24108,28416,27490,25582,35658,36875,40464,34359,33837,28804,19142,13269,8673,4212,1611,350,65,434528,8787,16250,23399,23888,23611,28093,27476,25292,35484,36624,40115,34602,33705,29136,19372,13585,8719,4329,1625,373,63
"양천구","등록외국인",3224,52,68,58,71,156,310,350,430,306,296,348,379,209,106,47,23,3,6,4,-,2,3246,45,80,57,68,141,312,341,416,323,300,316,369,257,124,55,24,5,6,5,-,2
"강서구","계",568826,13483,17986,20549,21438,29741,50487,54630,43626,46641,40788,44410,39794,43157,37716,25527,18175,11956,5914,2182,544,82,567159,13143,17548,20455,21202,29493,49918,54380,43332,46195,40670,44306,39902,42790,38437,25797,18508,12063,6143,2229,559,89
"강서구","한국인",563058,13345,17844,20484,21333,29402,49776,53819,42835,46070,40350,43918,39261,42813,37545,25456,18150,11944,5909,2179,543,82,561386,13032,17386,20381,21130,29200,49254,53596,42477,45597,40202,43831,39411,42394,38243,25719,18473,12051,6137,2225,558,89
"강서구","등록외국인",5768,138,142,65,105,339,711,811,791,571,438,492,533,344,171,71,25,12,5,3,1,-,5773,111,162,74,72,293,664,784,855,598,468,475,491,396,194,78,35,12,6,4,1,-
"구로구","계",415651,10702,13193,14443,14595,20713,31802,34453,30739,32861,29795,35208,33758,33405,28682,20137,14833,9962,4588,1400,332,50,414271,10288,13003,14266,14535,20449,31463,34297,30516,32520,29612,34858,33419,33685,29098,20442,15141,10072,4767,1440,352,48
"구로구","한국인",392405,10031,12403,13994,14224,20044,30827,32787,28312,30670,27732,32043,29879,31082,27579,19805,14752,9921,4562,1384,325,49,391387,9807,12142,13772,14182,19857,30527,32831,28101,30326,27592,31953,29891,30906,27893,19999,15031,10027,4734,1427,342,47
"구로구","등록외국인",23246,671,790,449,371,669,975,1666,2427,2191,2063,3165,3879,2323,1103,332,81,41,26,16,7,1,22884,481,861,494,353,592,936,1466,2415,2194,2020,2905,3528,2779,1205,443,110,45,33,13,10,1
"금천구","계",241105,4889,5849,6375,7009,11970,23988,23431,16996,16639,15364,20401,21375,21477,16698,11068,8257,5763,2538,815,170,33,240680,4604,5736,6339,6923,11835,24032,23455,16909,16507,15243,20013,21223,21663,17052,11260,8401,5759,2667,863,159,37
"금천구","한국인",227481,4480,5404,6085,6842,11623,23351,22385,15569,15387,14157,18412,19102,20153,16172,10874,8211,5739,2530,807,166,32,227160,4300,5232,6040,6736,11505,23393,22519,15503,15260,14008,18239,19065,20121,16454,11010,8337,5738,2656,853,157,34
"금천구","등록외국인",13624,409,445,290,167,347,637,1046,1427,1252,1207,1989,2273,1324,526,194,46,24,8,8,4,1,13520,304,504,299,187,330,639,936,1406,1247,1235,1774,2158,1542,598,250,64,21,11,10,2,3
"영등포구","계",397800,10933,12495,11730,12068,20423,38731,41627,33128,31354,26776,31859,30329,28838,23705,16027,12316,9054,4551,1483,310,63,397942,10551,12325,11708,11972,20246,38766,41764,33279,31078,26717,31586,30098,29202,24184,16184,12518,9111,4725,1541,323,64
"영등포구","한국인",374794,10377,11800,11307,11646,19498,37515,39977,30917,29285,24702,28768,26607,26552,22583,15682,12225,9010,4518,1468,298,59,375148,10154,11561,11244,11594,19422,37554,40273,31022,29032,24661,28733,26692,26510,22911,15741,12398,9065,4688,1524,311,58
